,Dmean,SP-3,SP-4,SP-5,MPC2,MPC3,MPC4,piPC2,MWC2,MWC3,MWC4,MWC5,MWC6,SRW4,SRW6,SRW8
0,-5.133333333333333,-1.5190805,-1.4923248,-1.5723594,-1.3114302,-1.3860875,-1.3522317,-1.9171009,-1.8483211,-1.7158245,-1.5113801,-1.3963687,-1.2464987,-1.7797754,-1.4909618,-1.2381387
1,-7.166666666666667,0.12117441,0.35356218,0.41356704,0.042838104,0.2975592,0.4888248,0.6761317,0.29382733,0.3678889,0.40719104,0.4760975,0.519325,0.2873541,0.34592453,0.43343532
2,-6.833333333333333,-0.41126952,-0.26118898,-0.21352358,-0.4259471,-0.34724164,-0.25754952,0.42555365,-0.2127389,-0.1490463,-0.1152846,-0.07362401,-0.047616117,-0.20328788,-0.12939826,-0.05319801
3,-10.466666666666667,3.1833873,3.2033114,2.9885926,3.1159854,3.2708075,3.2255306,1.2835181,1.9156238,1.8816979,1.8643318,1.8167309,1.791416,1.9135531,1.900492,1.8626918
4,-5.8,-1.0906638,-1.0012388,-0.9308494,-1.1551685,-1.0278648,-0.9541655,-0.6159158,-1.3205874,-1.2031709,-1.164735,-1.0790323,-1.0462581,-1.3129966,-1.1852673,-1.0300072
5,-7.0,0.23578697,0.4419887,0.5553384,0.35536158,0.4408483,0.6132205,0.4664934,0.5035434,0.5728646,0.6207748,0.6668514,0.7006604,0.5138475,0.5876125,0.6531416
6,-9.633333333333333,2.0488532,2.077077,2.2058861,1.8658916,2.124495,2.1308482,1.3745857,1.4249606,1.4295939,1.4132345,1.3969494,1.3767388,1.4199494,1.4252621,1.4061699
7,-9.4,1.6142639,1.6724817,1.7224836,1.5012809,1.7304499,1.8322984,1.178508,1.2167034,1.2476742,1.2733139,1.2793672,1.2908888,1.2241497,1.282027,1.3183193
8,-5.333333333333333,-0.6974449,-0.80058694,-0.7277471,-0.73847055,-0.7771089,-0.8297698,-0.56682515,-0.52883655,-0.55984944,-0.60920435,-0.61809754,-0.6533443,-0.5489297,-0.6205087,-0.66838115
9,-4.666666666666667,-1.3267184,-1.3675107,-1.2818604,-1.3635174,-1.314443,-1.2775943,-1.5436863,-1.8483211,-1.7876699,-1.7624943,-1.7053492,-1.6873965,-1.8337168,-1.7352834,-1.6186812
10,-7.599999999999999,0.0012198233,0.050427888,0.04994229,-0.06133638,0.0468033,0.065879345,0.5584846,0.14972661,0.21613783,0.26125264,0.3064085,0.33935288,0.16267294,0.26595053,0.36597553
11,-4.533333333333333,-1.1456735,-1.0445919,-1.089464,-1.2072557,-1.0636871,-0.9790446,-1.0196015,-1.456821,-1.3106762,-1.2500567,-1.1457281,-1.0974159,-1.4409946,-1.3221215,-1.1808742
